Period,Specialty,Procedure,Provider,Zone,Facility,Year,Quarter,Consult_Median,Consult_90th,Surgery_Median,Surgery_90th
2024_q2,,Male Reproductive System Surgery,,Zone 4,Hants Community Hospital,2024,2,90,196,117,381
2022_q4,,Carpal Tunnel Surgery,,Zone 2,Aberdeen Hospital,2022,4,52,199,85,181
2024_q2,,Knee Replacement Revision,,Zone 4,QE2,2024,2,,,219,941
12month_rolling,,Bowel Resection - Open,,Zone 4,Dartmouth General,2024,3,37,392,39,127
2022_q4,,Gallbladder Surgery,,Zone 3,Cape Breton Regional,2022,4,40,186,72,435
2022_q3,,Surgery for Hearing or Balance Problems of the Ear,,Zone 1,Yarmouth Regional,2022,3,69,124,36,75
2022_q4,,Gallbladder Surgery,,Zone 4,Hants Community Hospital,2022,4,95,305,70,175
12month_rolling,General Surgery,Hernia Repair - Inguinal/Femoral,"Kavanagh, Rhys",,,,,35,162,90,151
2023_q4,,Septoplasty,,Zone 4,Hants Community Hospital,2023,4,71,288,82,420
2024_q1,,Prostate Surgery,,Zone 1,Valley Regional,2024,1,10,59,77,177
12month_rolling,Obstetrics/Gynaecology,All,"Saciragic, Lana",,,,,10,33,50,96
12month_rolling,Ophthalmology,Cataract Surgery,"Hussain, Ahsen Ayyaz",,,,,126,182,51,71
12month_rolling,Urology,Male Circumcision  (Adult),"Massaro, Peter",,,,,231,723,128,331
3month_rolling,,Endometrial Ablation,,Total,Provincial,2024,3,68,588,65,269
2024_q3,,Bowel Resection - Laparoscopic,,Zone 1,Valley Regional,2024,3,,,40,82
2023_q2,,Wound Management,,Total,Provincial,2023,2,,,21,196
12month_rolling,General Surgery,Hemorrhoidectomy,"Wasserman, Lukas",,,,,27,258,61,146
2023_q4,,Prostate Surgery - Laparoscopic,,Zone 4,QE2,2023,4,31,132,150,242
12month_rolling,,Hernia Repair - Laparoscopic Inguinal Femoral,,Zone 3,Cape Breton Regional,2024,3,85,335,204,783
2024_q2,,Dental Extractions and Restorations  (Adult),,Zone 1,South Shore Regional,2024,2,,,78,234
2024_q2,,Female Incontinence Surgery,,Zone 4,QE2,2024,2,,,137,272
2023_q2,,Ear Tubes  (Pediatric),,Zone 3,St. Martha's Regional,2023,2,57,92,85,123
2022_q4,,Kidney Stone Surgery,,Zone 4,Dartmouth General,2022,4,25,81,,
2023_q1,,Dental Extractions and Restorations  (Pediatric),,Zone 2,Cumberland Regional,2023,1,36,63,43,65
2024_q1,,Surgery for Hearing or Balance Problems of the Ear,,IWK,IWK,2024,1,94,295,119,250
12month_rolling,Urology,Sacral Nerve Stimulation,"Cox, Ashley",,,,,117,435,118,219
2024_q1,,Knee Replacement,,Zone 4,QE2,2024,1,103,316,417,1342
12month_rolling,Orthopaedic,Hip Replacement,"Wilson, David",,,,,89,268,24,52
2024_q3,,Thoroscopy / Pleuroscopy,,Total,Provincial,2024,3,,,15,378
2023_q3,,Nerve or Brain Stimulation,,Zone 4,QE2,2023,3,,,22,54
2023_q1,,Colorectal Cancer Surgery,,Zone 1,Valley Regional,2023,1,26,121,38,79
2024_q2,,Prostate Surgery - Laparoscopic,,Total,Provincial,2024,2,20,51,174,239
2024_q3,,Knee Replacement,,Zone 4,QE2,2024,3,138,287,360,1111
2022_q4,,Dental Extractions and Restorations  (Pediatric),,Zone 3,Glace Bay,2022,4,,,93,469
2024_q1,,Bowel Resection - Open,,Total,Provincial,2024,1,27,215,42,92
2024_q3,,Gallbladder Surgery,,Zone 2,Colchester East Hants Health Centre,2024,3,29,150,83,156
2023_q3,,Male Reproductive System Surgery,,Total,Provincial,2023,3,83,246,118,642
2024_q1,,Septoplasty,,Total,Provincial,2024,1,84,486,90,304
2023_q2,,Septoplasty,,Zone 1,Valley Regional,2023,2,364,418,75,174
2024_q2,,Tonsillectomy and/or Adenoidectomy  (Adult),,Zone 4,Dartmouth General,2024,2,,,97,594
12month_rolling,,Insertion Vascular Access Catheter,,Zone 1,Yarmouth Regional,2024,3,5,14,9,25
12month_rolling,General Surgery,Hernia Repair - Umbilical,"Yaffe, Paul",,,,,341,462,121,238
2024_q2,,Palmar Fascia Excision for Dupuytren's Disease,,Total,Provincial,2024,2,143,579,87,265
2024_q2,,Hysteroscopy,,Zone 3,St. Martha's Regional,2024,2,29,196,70,123
12month_rolling,General Surgery,Gastrointestinal Tract Surgery,"O'Sullivan, Colleen M",,,,,57,196,57,75
12month_rolling,General Surgery,Gallbladder Surgery,"Nader, Nabil",,,,,27,72,47,63
2024_q1,,Breast Cancer Surgery,,Zone 2,Colchester East Hants Health Centre,2024,1,7,33,41,77
2023_q1,,Thoroscopy / Pleuroscopy,,Total,Provincial,2023,1,8,18,24,138
12month_rolling,Orthopaedic,Hip Replacement,"O'Brien, David A",,,,,485,661,412,552
2024_q3,,Hernia Repair  (Adult),,Zone 2,Colchester East Hants Health Centre,2024,3,40,200,99,245
12month_rolling,General Surgery,All,"Neumann, Katerina",,,,,62,378,61,720
2023_q2,,Hysterectomy  (Cancer Not Suspected),,Zone 1,South Shore Regional,2023,2,,,68,168
12month_rolling,General Surgery,Gallbladder Surgery,"Shih, Warren W",,,,,89,216,113,225
2024_q2,,Gallbladder Surgery,,Total,Provincial,2024,2,39,217,60,195
12month_rolling,General Surgery,Peritoneal Lavage or Catherization,"Livingstone, Scott",,,,,8,38,9,16
2023_q1,,Breast Cancer Surgery,,Total,Provincial,2023,1,14,35,24,49
2022_q4,,Hernia Repair  (Adult),,Zone 4,Hants Community Hospital,2022,4,161,542,53,395
2022_q3,,Breast Cancer Surgery,,Zone 1,Valley Regional,2022,3,16,42,30,57
2022_q4,,Cataract Surgery,,Zone 2,Colchester East Hants Health Centre,2022,4,260,322,265,340
12month_rolling,Otolaryngology (ENT),Ear Tubes  (Adult),"Kujath, Magdalena",,,,,95,1606,63,95
12month_rolling,Urology,Male Reproductive System Surgery,"Ory, Jesse",,,,,161,433,131,418
2023_q2,,Gastrointestinal Tract Surgery,,Zone 1,South Shore Regional,2023,2,18,96,43,137
2024_q2,,Peritoneal Lavage or Catherization,,Zone 4,QE2,2024,2,,,14,22
2024_q3,,Strabismus Surgery  (Adult),,Zone 4,QE2,2024,3,175,813,150,491
2023_q2,,Kidney / Upper Urinary Tract,,Total,Provincial,2023,2,33,79,58,267
2023_q1,,Vitreoretinal Diseases,,Zone 4,QE2,2023,1,30,195,27,79
2023_q2,,Colorectal Cancer Surgery,,Total,Provincial,2023,2,17,100,29,66
2022_q3,,Cataract Surgery,,Zone 1,Yarmouth Regional,2022,3,132,315,135,154
2024_q1,,Hernia Repair - Incisional,,Zone 4,QE2,2024,1,77,731,108,910
2023_q1,,Glaucoma (Eye Pressure Lowering Surgery),,Zone 4,QE2,2023,1,35,297,18,81
3month_rolling,,Functional Endoscopic Sinus Surgery (FESS),,Zone 4,Dartmouth General,2024,3,37,71,92,146
2024_q3,,Gallbladder Surgery,,Zone 3,St. Martha's Regional,2024,3,31,78,156,286
2024_q1,,Cataract Surgery,,Zone 2,Cumberland Regional,2024,1,212,255,63,126
2022_q4,,Aesthetic Surgery,,Total,Provincial,2022,4,119,640,76,307
2023_q3,,Foot - Arthrodesis,,Zone 3,Cape Breton Regional,2023,3,,,142,240
2024_q1,,Hip Replacement,,Total,Provincial,2024,1,154,402,118,571
2022_q3,,Shoulder Arthroscopy,,Zone 2,Aberdeen Hospital,2022,3,101,153,,
2023_q3,,Laryngology and Vocal Cord Surgery,,Zone 4,QE2,2023,3,27,75,141,569
2024_q2,,Cardioversion,,Total,Provincial,2024,2,,,12,15
2023_q3,,Pilonidal Cyst Surgery,,Total,Provincial,2023,3,105,382,50,218
2023_q1,,Bariatric Surgery (for Weight Loss),,Zone 4,QE2,2023,1,91,187,354,539
3month_rolling,Ophthalmology,,,,,2024,3,,,61,158
2024_q1,,Tubal Ligation,,Total,Provincial,2024,1,77,333,107,223
2024_q2,,Knee Replacement,,Total,Provincial,2024,2,226,496,168,542
2024_q3,,Pancreas Surgery,,Total,Provincial,2024,3,14,27,30,79
2023_q4,,Gastrointestinal Tract Surgery - Laparoscopic,,Zone 4,Dartmouth General,2023,4,15,104,24,45
2023_q3,,Cystoscopy,,Zone 4,Dartmouth General,2023,3,43,133,130,589
12month_rolling,Urology,Male Reproductive System Surgery,"Rent, Kenneth",,,,,30,96,57,169
2023_q4,,Cardioversion,,Total,Provincial,2023,4,,,17,34
2023_q4,,Craniotomy or Craniectomy,,Total,Provincial,2023,4,,,90,225
2023_q1,,Hysteroscopy,,Zone 2,Aberdeen Hospital,2023,1,83,164,26,62
3month_rolling,,Knee Scope,,Total,Provincial,2024,3,85,222,84,191
2023_q3,,Tubal Ligation,,Total,Provincial,2023,3,43,267,47,144
2023_q3,,Shoulder Arthroplasty,,Total,Provincial,2023,3,93,498,275,537
2023_q1,,Hip Arthroscopy,,Zone 4,QE2,2023,1,,,385,772
12month_rolling,Otolaryngology (ENT),All,"Curry, Philip L",,,,,57,299,42,216
2022_q4,,Gastrointestinal Tract Surgery,,Zone 1,Yarmouth Regional,2022,4,,,9,49
12month_rolling,Orthopaedic,Meniscectomy,"Urquhart, Nathan Alexander",,,,,106,290,118,259
2023_q4,,Knee Scope with ACL Repair,,Zone 4,QE2,2023,4,50,95,119,326
2023_q3,,Hip Arthroscopy,,Zone 4,QE2,2023,3,,,316,2090
2024_q2,,Wound Management,,Total,Provincial,2024,2,,,11,20
12month_rolling,General Surgery,Hernia Repair - Laparoscopic Inguinal Femoral,"Enright, Jonathan Boyde",,,,,318,490,139,213
2024_q2,,Hip Replacement,,Zone 4,Dartmouth General,2024,2,257,430,161,466
2023_q4,,Male Reproductive System Surgery,,Zone 3,Glace Bay,2023,4,172,319,,
12month_rolling,Obstetrics/Gynaecology,Hysteroscopy,"Parr, Grace",,,,,76,204,36,131
2022_q4,,Cervical Spine (Neck) Surgery,,Total,Provincial,2022,4,179,563,129,302
2023_q2,,Back Surgery  (Pediatric),,Total,Provincial,2023,2,,,482,715
12month_rolling,General Surgery,Hernia Repair - Umbilical,"Roach, Eileen",,,,,62,423,233,345
2022_q3,,Hernia Repair  (Pediatric),,IWK,IWK,2022,3,70,97,54,121
2024_q3,,Hysteroscopy,,Zone 4,Dartmouth General,2024,3,26,151,61,108
2022_q4,,Thyroid or Parathyroid Surgery,,Total,Provincial,2022,4,45,188,105,422
12month_rolling,General Surgery,Bowel Resection - Laparoscopic,"Nader, Nabil",,,,,10,19,20,54
12month_rolling,Ophthalmology,Cataract Surgery,"Dickinson, John D",,,,,47,281,96,283
2023_q3,,Hernia Repair  (Adult),,Zone 1,South Shore Regional,2023,3,38,154,40,93
2023_q3,,Lacrimal Duct Probing,,Total,Provincial,2023,3,124,192,66,187
2023_q4,,Hysteroscopy,,Total,Provincial,2023,4,43,273,49,146
12month_rolling,General Surgery,Hernia Repair - Umbilical,"Butler, Clay K",,,,,,,239,604
2024_q2,,Bowel Resection - Open,,Zone 1,South Shore Regional,2024,2,,,29,43
2023_q3,,Kidney / Upper Urinary Tract,,Zone 3,Cape Breton Regional,2023,3,,,34,162
2023_q4,,Maxillofacial Deformity Surgery,,Total,Provincial,2023,4,250,541,225,336
12month_rolling,Neurosurgery,Brain Surgery  (Adult),"Weeks, Adrienne",,,,,18,40,30,67
2022_q3,,Lung Surgery,,Zone 4,QE2,2022,3,20,42,28,72
12month_rolling,Orthopaedic,Knee Scope with ACL Repair,"El-Tahan, Tahmir H.",,,,,52,106,95,249
12month_rolling,General Surgery,Hernia Repair  (Adult),"Smith, Victoria",,,,,39,60,56,99
12month_rolling,Obstetrics/Gynaecology,Removal of Ovaries and/or Fallopian Tubes  (Cancer Not Suspected),"Cohen, Elissa",,,,,98,189,38,102
2023_q4,,Knee Scope,,Zone 2,Aberdeen Hospital,2023,4,63,241,69,182
3month_rolling,,Knee Scope,,Zone 1,South Shore Regional,2024,3,,,98,298
12month_rolling,General Surgery,Hernia Repair - Inguinal/Femoral,"Minor, Samuel",,,,,260,314,65,265
2024_q1,,Knee Replacement Revision,,Zone 4,QE2,2024,1,,,166,488
2022_q4,,Gastrointestinal Tract Surgery,,Zone 4,QE2,2022,4,67,534,69,444
12month_rolling,Orthopaedic,Knee Replacement,"Sequeira, Stanislaus",,,,,140,227,505,722
2022_q3,,Hernia Repair - Inguinal/Femoral,,IWK,IWK,2022,3,,,47,106
2022_q4,,Functional Endoscopic Sinus Surgery (FESS),,Total,Provincial,2022,4,48,157,90,246
2023_q4,,Cornea and External Disease,,Zone 4,QE2,2023,4,97,203,105,291
2024_q1,,Thyroid or Parathyroid Surgery,,Zone 4,Dartmouth General,2024,1,35,246,50,173
2024_q1,,Functional Endoscopic Sinus Surgery (FESS),,Zone 3,St. Martha's Regional,2024,1,,,76,258
2023_q4,,Knee Replacement,,Zone 3,Cape Breton Regional,2023,4,191,392,123,203
12month_rolling,,Bone / Cartilage Graft,,IWK,IWK,2024,3,,,138,211
12month_rolling,,Hand / Upper Extremity,,Zone 3,St. Martha's Regional,2024,3,43,74,,
12month_rolling,Urology,Bladder Cancer Surgery,"Rent, Kenneth",,,,,15,43,23,80
2023_q4,,Hernia Repair  (Adult),,Zone 1,Yarmouth Regional,2023,4,22,91,52,159
2022_q3,,Prostate Surgery,,Zone 1,Yarmouth Regional,2022,3,,,46,90
12month_rolling,General Surgery,Hernia Repair  (Adult),"Jad, Ahmed",,,,,127,228,133,227
2024_q3,,Septoplasty,,Zone 4,Hants Community Hospital,2024,3,102,168,78,107
2023_q1,,Female Incontinence Surgery,,Zone 4,QE2,2023,1,,,97,470
2024_q2,,Hysteroscopy,,Zone 1,South Shore Regional,2024,2,34,139,43,91
12month_rolling,Otolaryngology (ENT),Head and Neck Surgery,"Williams, Blair",,,,,29,90,33,458
2024_q1,,Vitreoretinal Diseases,,Zone 4,QE2,2024,1,27,132,25,104
2024_q2,,Dental Extractions and Restorations  (Adult),,IWK,IWK,2024,2,,,560,1301
2023_q2,,Bowel Resection - Laparoscopic,,Zone 3,Cape Breton Regional,2023,2,8,28,32,46
2022_q4,,Hysterectomy  (Cancer Not Suspected),,Zone 4,QE2,2022,4,15,18,63,127
12month_rolling,General Surgery,Gastrointestinal Tract Surgery - Laparoscopic,"Yaffe, Paul",,,,,33,56,36,63
12month_rolling,Otolaryngology (ENT),Laryngology and Vocal Cord Surgery,"Rigby, Matthew Hall",,,,,12,13,28,97
2024_q3,,Prostate Surgery - Laparoscopic,,Zone 4,QE2,2024,3,29,63,160,248
12month_rolling,Otolaryngology (ENT),All,"Corsten, P Gerard",,,,,171,329,125,324
12month_rolling,Obstetrics/Gynaecology,All,"Nee, Brigid",,,,,106,619,94,236
12month_rolling,,Male Reproductive System Surgery,,Zone 4,Dartmouth General,2024,3,88,330,124,464
2023_q1,,Aneurysm Repair,,Zone 4,QE2,2023,1,25,133,52,271
3month_rolling,,Prostatectomy,,Zone 4,QE2,2024,3,28,63,160,248
2022_q3,,Bladder Cancer Surgery,,Zone 4,Dartmouth General,2022,3,,,23,111
12month_rolling,Obstetrics/Gynaecology,Hysteroscopy,"Nair, Cynthia",,,,,22,36,30,52
2023_q1,,Male Circumcision  (Adult),,Zone 2,Colchester East Hants Health Centre,2023,1,145,504,96,490
2024_q3,,Back Surgery  (Pediatric),,IWK,IWK,2024,3,,,359,741
2024_q2,,Foot - Bunionectomy,,Total,Provincial,2024,2,,,109,141
2023_q3,,Aneurysm Repair,,Zone 4,QE2,2023,3,30,127,31,167
12month_rolling,Oral Maxillofacial,Bone / Cartilage Graft,"Doucet, Jean-Charles",,,,,136,244,188,256
2024_q3,,Septoplasty,,Zone 4,Dartmouth General,2024,3,65,133,119,332
2023_q2,,Nerve or Brain Stimulation,,Zone 4,QE2,2023,2,,,42,78
2023_q1,,Hernia Repair - Umbilical,,Zone 4,Dartmouth General,2023,1,265,426,158,685
12month_rolling,Obstetrics/Gynaecology,Hysterectomy  (Cancer Not Suspected),"Nette, Farrell",,,,,239,430,230,317
12month_rolling,General Surgery,Gastric Surgery,"Helyer, Lucy K",,,,,14,20,10,17
2023_q4,,Esophagectomy / Esophageal Surgery,,Total,Provincial,2023,4,21,40,31,92
2024_q2,,Sacral Nerve Stimulation,,Zone 4,QE2,2024,2,,,136,228
2024_q2,,Hernia Repair - Inguinal/Femoral,,Zone 1,Valley Regional,2024,2,21,59,89,189
12month_rolling,General Surgery,Insertion Vascular Access Catheter,"Blackmore, Christopher",,,,,85,744,16,100
2023_q3,,Gastrointestinal Tract Surgery - Laparoscopic,,Zone 1,Valley Regional,2023,3,14,383,41,87
2022_q4,,Lung Surgery,,Zone 4,QE2,2022,4,22,66,27,61
2023_q4,,Shoulder Arthroscopy,,Zone 1,Valley Regional,2023,4,93,280,141,250
2024_q1,,Hip Replacement,,Zone 4,QE2,2024,1,123,245,121,1280
2023_q1,,Hernia Repair - Incisional,,Total,Provincial,2023,1,61,376,113,365
12month_rolling,General Surgery,All,"Knapp, Gregory",,,,,20,69,34,177
2023_q1,,Gallbladder Surgery,,Zone 3,St. Martha's Regional,2023,1,20,99,78,188
2023_q3,,Hernia Repair  (Adult),,Zone 1,Valley Regional,2023,3,58,392,45,491
2024_q2,,Breast Reduction Surgery,,Zone 4,QE2,2024,2,1166,1338,97,246
2024_q3,,Removal of Ovaries and/or Fallopian Tubes  (Cancer Suspected or Proven),,Zone 4,QE2,2024,3,,,29,39
12month_rolling,General Surgery,Hernia Repair  (Adult),"Roach, Eileen",,,,,91,378,174,268
2024_q3,,Hip Replacement,,Zone 4,QE2,2024,3,161,266,57,1051
3month_rolling,,Knee Scope with ACL Repair,,Zone 4,Hants Community Hospital,2024,3,48,119,64,160
2024_q1,,Bladder Cancer Surgery,,Zone 1,Valley Regional,2024,1,4,39,28,69
2023_q2,,Palmar Fascia Excision for Dupuytren's Disease,,Zone 1,South Shore Regional,2023,2,61,540,92,364
12month_rolling,General Surgery,Hernia Repair - Incisional,"Wasserman, Lukas",,,,,31,47,143,335
12month_rolling,General Surgery,Hernia Repair - Laparoscopic Inguinal Femoral,"Roach, Eileen",,,,,88,335,156,260
12month_rolling,General Surgery,Gastrointestinal Tract Surgery,"Wasilewski, Leszek J",,,,,299,364,108,237
2024_q1,,Thyroid or Parathyroid Surgery,,Zone 3,Cape Breton Regional,2024,1,77,135,119,209
2024_q1,,Gallbladder Surgery,,Total,Provincial,2024,1,38,247,54,181
2022_q3,,Knee Replacement,,Total,Provincial,2022,3,183,428,289,753
2023_q2,,Strabismus Surgery  (Adult),,Zone 4,QE2,2023,2,434,755,211,421
2022_q4,,Pancreas Surgery,,Total,Provincial,2022,4,13,22,18,41
2022_q3,,Prostate Surgery,,Zone 3,Northside General,2022,3,47,275,33,189
12month_rolling,Otolaryngology (ENT),Tonsillectomy and/or Adenoidectomy  (Pediatric),"Piccott, Devin",,,,,90,333,148,266
12month_rolling,General Surgery,Hernia Repair  (Adult),"Butler, Clay K",,,,,35,48,496,840
2023_q4,,Hip Replacement,,Zone 2,Aberdeen Hospital,2023,4,165,335,63,312
12month_rolling,,Video-Assisted Thoracic Surgery,,Zone 4,QE2,2024,3,26,64,37,88
2023_q4,,Male Reproductive System Surgery,,Zone 4,Dartmouth General,2023,4,71,210,175,771
2024_q2,,Prostatectomy,,Zone 4,QE2,2024,2,20,51,174,239
2022_q3,,Orthopaedic Trauma,,Zone 4,QE2,2022,3,,,22,93
2023_q4,,Vitreoretinal Diseases,,Total,Provincial,2023,4,29,179,15,78
2023_q4,,Hernia Repair - Inguinal/Femoral,,Zone 3,Cape Breton Regional,2023,4,54,371,99,496
2024_q1,,Temperomandibular Joint Surgery (TMJ),,Total,Provincial,2024,1,112,547,141,587
12month_rolling,Obstetrics/Gynaecology,Endometrial Ablation,"Marshall, Vaughan",,,,,68,119,107,213
2024_q1,,Colorectal Cancer Surgery,,Total,Provincial,2024,1,19,114,31,69
12month_rolling,,Gastric Surgery - Laparoscopic,,Total,Provincial,2024,3,98,645,120,459
2022_q3,,Pancreas Surgery,,Zone 4,QE2,2022,3,13,146,17,59
2022_q3,,Wound Management,,Total,Provincial,2022,3,,,33,260
2024_q2,,Kidney Stone Surgery,,Zone 4,QE2,2024,2,31,112,57,126
3month_rolling,,Kidney Removal,,Zone 4,QE2,2024,3,13,43,87,182
2023_q4,,Hernia Repair - Laparoscopic Inguinal Femoral,,Zone 3,St. Martha's Regional,2023,4,11,31,236,370
2022_q3,,Cataract Surgery,,Zone 1,Soldiers Memorial,2022,3,74,129,134,281
12month_rolling,Neurosurgery,All,"Weeks, Adrienne",,,,,19,42,35,107
12month_rolling,Urology,Cystoscopy,"Butler, Trevor",,,,,15,46,42,147
2024_q1,,Peritoneal Lavage or Catherization,,Total,Provincial,2024,1,,,10,16
2023_q4,,Kidney Stone Surgery,,Zone 4,QE2,2023,4,33,71,41,117
12month_rolling,Urology,Kidney Stone Surgery,"McCarthy, John Paul",,,,,,,52,189
2024_q1,,Removal of Ovaries and/or Fallopian Tubes  (Cancer Suspected or Proven),,Zone 4,QE2,2024,1,,,30,46
12month_rolling,,Aesthetic Surgery,,Zone 3,Glace Bay,2024,3,,,32,93
2024_q2,,Shoulder Arthroscopy,,Zone 1,South Shore Regional,2024,2,66,168,161,261
12month_rolling,Obstetrics/Gynaecology,Hysterectomy  (Cancer Not Suspected),"Saciragic, Lana",,,,,19,33,42,46
2024_q1,,Brain Surgery  (Adult),,Total,Provincial,2024,1,34,338,44,160
2023_q1,,Dental Extractions and Restorations  (Adult),,Zone 1,South Shore Regional,2023,1,,,374,397
2022_q4,,Strabismus Surgery  (Pediatric),,IWK,IWK,2022,4,96,351,159,298
2024_q3,,Craniotomy or Craniectomy,,Total,Provincial,2024,3,,,91,339
2023_q2,,Cornea and External Disease,,Total,Provincial,2023,2,85,263,92,409
2024_q2,,Septoplasty,,Total,Provincial,2024,2,110,751,86,382
12month_rolling,Urology,All,"Paterson, Nicholas",,,,,40,97,64,125
2023_q4,,Colorectal Cancer Surgery,,Zone 4,QE2,2023,4,23,111,25,51
12month_rolling,General Surgery,Nissen Fundoplication - Laparoscopic,"Ellsmere, James C",,,,,60,120,359,407
3month_rolling,,Strabismus Surgery  (Adult),,Zone 4,QE2,2024,3,175,813,150,491
2024_q2,,Hernia Repair - Inguinal/Femoral,,Total,Provincial,2024,2,50,335,73,203
12month_rolling,General Surgery,Hernia Repair - Inguinal/Femoral,"Wasilewski, Leszek J",,,,,679,1251,103,165
2023_q3,,Knee Scope with ACL Repair,,Zone 4,QE2,2023,3,75,200,119,271
12month_rolling,General Surgery,Amputations,"Archibald, Alison",,,,,5,28,26,37
2022_q3,,Cystoscopy,,Zone 4,Dartmouth General,2022,3,17,102,29,168
2023_q3,,Functional Endoscopic Sinus Surgery (FESS),,Zone 4,Dartmouth General,2023,3,27,85,71,142
2024_q1,,Knee Replacement,,Zone 4,Dartmouth General,2024,1,259,467,229,463
2023_q4,,Spinal Cord Stimulation Surgery,,Zone 4,QE2,2023,4,,,109,184
2024_q2,,Hysteroscopy,,Zone 4,Dartmouth General,2024,2,48,318,51,101
2024_q1,,Hysteroscopy,,Zone 1,Valley Regional,2024,1,54,2198,76,167
12month_rolling,Otolaryngology (ENT),Ear Tubes  (Pediatric),"Corsten, P Gerard",,,,,115,267,111,201
2023_q4,,Kidney Stone Surgery,,Zone 1,Valley Regional,2023,4,,,50,212
2024_q1,,Back Surgery  (Pediatric),,Total,Provincial,2024,1,,,314,539
2022_q4,,Removal of Ovaries and/or Fallopian Tubes  (Cancer Suspected or Proven),,Zone 4,QE2,2022,4,,,44,57
2022_q3,,Cataract Surgery,,Zone 2,Colchester East Hants Health Centre,2022,3,233,250,270,339
3month_rolling,,Ear Tubes  (Pediatric),,Zone 1,Valley Regional,2024,3,,,101,141
2023_q2,,Ear Tubes  (Pediatric),,IWK,IWK,2023,2,112,169,76,123
2023_q4,,Brain Surgery  (Pediatric),,Total,Provincial,2023,4,,,39,44
2024_q2,,Kidney Removal,,Zone 4,QE2,2024,2,12,29,56,185
